SCODE,Year,FEM_NUM,FEM_RTO,BOARDSIZE,IDOUT_RTO,IDOUT_NUM,AGE_AVERAGE,BRD_AGEMAX_B,BRD_AGEMIN_B,NKILM,ROA,ASS_ROA,ASS,DASS,FRAUD
1964,2017,0,0,9,11.1,1,63,73,55,41,3.34268,38502,41494,48.8,0
7887,2020,0,0,6,16.7,1,60,66,51,33,8.78112,23300,24026,18.9,0
5959,2019,2,14.3,14,28.6,4,60,72,53,19,6.407,87701,88652,34.7,0
1808,2020,1,5.6,13,38.5,5,63,71,46,41,8.98665,799319,953659,58.6,0
3405,2018,1,7.1,9,22.2,2,65,74,61,7,7.87489,776735,947116,40.1,0
5821,2020,0,0,6,33.3,2,68,76,50,19,5.41605,35044,37184,26.1,0
6904,2017,1,7.7,10,20,2,60,71,53,23,7.1141,33033,34434,60.4,0
7921,2018,1,9.1,8,25,2,64,74,55,33,9.65517,19720,22201,30.8,0
9024,2017,1,5.3,15,20,3,60,76,51,55,3.40875,1627868,1671977,76.4,0
6268,2018,1,6.7,10,30,3,62,67,47,21,9.93577,301557,328568,42.4,0
7267,2017,2,14.3,14,35.7,5,62,72,53,27,5.88124,18958123,19349164,57.4,0
8789,2018,0,0,6,16.7,1,53,67,40,52,2.21176,14016,19025,53.4,0
4120,2017,0,0,7,28.6,2,65,71,59,7,0.94379,9536,9656,42.7,0
4120,2018,0,0,7,28.6,2,64,72,51,7,2.27838,9656,9689,40.4,0
1758,2018,0,0,10,10,1,57,69,42,41,5.12687,9577,9119,25.1,0
1884,2018,0,0,6,33.3,2,62,65,51,41,5.52161,147783,151341,46.5,0
6183,2017,2,16.7,9,33.3,3,53,59,48,71,6.09589,139471,142437,68.5,0
7533,2019,0,0,7,14.3,1,56,73,45,43,11.09576,12302,13180,41.3,0
9438,2018,2,18.2,7,42.9,3,56,73,45,65,14.6468,23896,27479,20.7,0
4837,2017,1,9.1,7,14.3,1,61,82,49,71,-2.06328,67223,48143,89.5,0
9078,2019,0,0,11,25,2,66,74,48,57,2.88456,36678,40597,41.3,0
6915,2018,0,0,10,20,2,60,69,55,23,6.10873,45656,44350,22.6,0
3294,2020,0,0,7,28.6,2,57,63,51,53,7.217,18498,20558,60.6,0
5907,2018,0,0,9,11.1,1,62,68,57,19,6.37938,38452,38352,26.9,0
4088,2019,1,4,20,10,2,65,86,54,7,6.34015,785944,899699,60.9,0
5269,2017,1,10,7,42.9,3,67,75,57,15,3.46141,63558,72539,49.9,0
7537,2019,0,0,8,37.5,3,64,77,55,43,1.56519,128163,131451,63.3,0
1776,2017,2,15.4,9,22.2,2,62,68,57,41,5.8708,25448,25903,61.6,0
8140,2017,0,0,10,40,4,58,60,55,43,3.95743,161620,162866,42.1,0
7839,2019,0,0,5,40,2,54,62,41,33,24.65483,18252,20841,25,0
2337,2017,2,10,9,66.7,6,57,70,41,53,7.01568,273459,296512,68.7,0
7752,2020,1,7.7,8,50,4,66,73,59,23,-1.43072,2867645,1887868,51.1,0
1948,2019,0,0,12,16.7,2,61,77,54,41,8.72249,29808,29216,39.9,0
6640,2019,0,0,10,33.3,3,63,72,56,23,2.06824,66820,80421,38.1,0
5939,2017,0,0,8,0,0,63,71,58,19,6.70146,4790,4902,47.7,0
8140,2018,0,0,10,40,4,59,62,56,43,2.4492,162257,146588,40.1,0
1979,2019,0,0,10,20,2,63,68,58,41,7.16828,223080,215389,47.6,0
6670,2020,0,0,7,42.9,3,53,76,42,23,20.07819,77248,87356,40.1,0
6249,2018,0,0,6,0,0,60,68,51,21,4.88578,49511,50197,19.4,0
7732,2018,1,7.7,9,33.3,3,59,73,47,31,7.15223,160747,160288,55.6,0
2337,2019,2,11.1,9,55.6,5,58,72,43,53,7.63912,319343,333726,69.6,0
1964,2019,0,0,9,22.2,2,65,74,57,41,4.38792,42731,46696,55.7,0
8903,2019,0,0,4,0,0,52,57,45,53,3.58494,18243,19612,78.9,0
1764,2018,1,7.7,9,22.2,2,60,72,50,41,8.85852,11853,13085,69.8,0
7822,2019,1,8.3,8,25,2,63,80,53,33,-0.95102,68032,68752,39,0
1815,2018,0,0,11,18.2,2,62,66,50,41,3.62572,188928,193676,67.8,0
3377,2018,0,0,7,28.6,2,56,66,48,43,6.47547,5544,6180,34.5,0
9830,2018,0,0,5,40,2,62,68,56,43,9.93601,147363,170216,29.1,0
1945,2018,0,0,8,25,2,63,68,57,41,6.02905,83446,85755,28.3,0
4684,2020,1,8.3,9,22.2,2,68,86,49,71,19.87936,264596,298257,10.8,0
5965,2018,0,0,14,14.3,2,59,65,34,19,6.15576,35414,35644,48.8,0
6640,2017,0,0,12,25,3,62,70,54,23,4.23997,59175,64929,27.8,0
8275,2018,0,0,8,25,2,62,75,53,43,13.24312,24979,32323,64.1,0
8218,2017,0,0,8,25,2,60,73,48,45,5.57375,306562,319771,48.4,0
6845,2017,0,0,9,33.3,3,67,75,55,23,9.2345,263317,278629,36.1,0
8155,2017,0,0,7,28.6,2,69,74,58,19,5.66014,79574,92202,37.2,0
1776,2018,2,15.4,9,22.2,2,62,69,58,41,6.07266,25903,26631,59.1,0
4043,2018,0,0,11,27.3,3,63,70,56,7,9.22782,361949,379630,56.9,0
6640,2017,0,0,12,25,3,62,70,54,23,4.23997,59175,64929,27.8,0
9909,2019,0,0,7,14.3,1,59,65,49,43,5.02021,6434,6734,61.8,0
7959,2018,0,0,6,33.3,2,66,88,56,33,5.90757,40355,41499,26,0
8153,2020,3,30,6,33.3,2,57,62,48,71,2.21763,64348,64827,30.1,0
7422,2020,4,44.4,6,50,3,60,69,43,43,-1.89857,7532,6787,28.2,0
3064,2020,2,14.3,8,62.5,5,53,62,42,45,32.95472,59691,81263,41.4,0
8081,2018,0,0,8,25,2,63,80,58,43,5.92919,77869,86801,50.2,0
4926,2019,5,50,7,57.1,4,61,75,36,7,-2.2735,11700,10229,20,0
4912,2019,2,15.4,9,33.3,3,59,69,47,7,8.83655,355365,380701,41.9,0
7593,2019,0,0,6,33.3,2,61,71,55,43,3.25916,141478,167912,75.8,0
2211,2017,0,0,12,16.7,2,66,82,54,1,2.39466,60969,76349,37,0
9945,2017,0,0,12,33.3,4,60,72,50,71,5.67309,92736,91499,27.8,0
1737,2017,0,0,10,10,1,58,65,49,41,9.65004,23803,22774,39.4,0
7426,2017,0,0,9,0,0,57,83,29,43,3.31882,7352,6420,39.8,0
6395,2019,0,0,7,28.6,2,65,72,58,21,6.04434,255793,312047,48.9,0
7945,2017,0,0,9,33.3,3,61,72,39,19,5.10568,33923,36361,37.7,0
7483,2018,0,0,8,37.5,3,63,73,46,43,6.97247,86985,90181,21.9,0
8287,2018,1,7.1,10,20,2,56,64,49,45,3.05798,98104,94457,47.6,0
1429,2019,2,20,6,33.3,2,56,71,42,41,13.27446,14381,15379,55.5,0
7599,2020,0,0,5,40,2,54,64,48,43,5.2464,183783,177222,74.6,0
5907,2019,0,0,8,12.5,1,61,66,58,19,6.53682,38352,38626,24.7,0
6625,2019,0,0,3,0,0,52,54,48,53,3.14423,19496,27684,66.7,0
3914,2017,0,0,6,50,3,50,59,34,71,25.87977,1364,1572,26.3,0
8153,2020,3,30,6,33.3,2,57,62,48,71,2.21763,64348,64827,30.1,0
1975,2019,0,0,12,16.7,2,66,81,59,41,4.80547,80887,80732,62,0
7513,2017,1,11.1,9,22.2,2,60,75,46,45,3.87229,103298,101479,58.3,0
3645,2017,0,0,6,0,0,48,63,37,71,8.69565,1771,1884,17.6,0
4091,2017,0,0,7,28.6,2,67,74,63,7,6.04762,924281,931047,55.7,0
2928,2018,0,0,12,25,3,54,71,37,71,-7.11449,174264,180306,69.6,0
7956,2017,0,0,10,20,2,57,75,43,33,25.5156,78889,84467,25.6,0
5987,2019,0,0,5,16.7,1,67,70,64,19,0.2435,10267,10009,44.9,0
7480,2017,1,10,10,30,3,59,69,44,43,7.13016,28120,29827,44.2,0
9644,2018,0,0,13,15.4,2,55,67,42,71,7.83349,12804,12769,16.1,0
4349,2020,0,0,7,14.3,1,58,71,42,71,6.16338,2742,3615,65.4,0
3150,2018,0,0,9,22.2,2,51,79,39,43,23.19398,6243,6926,44.5,0
2157,2019,1,12.5,8,37.5,3,61,68,47,71,3.11845,72087,44555,48.6,0
3632,2017,0,0,9,22.2,2,45,71,36,71,8.39094,122954,125361,9.8,0
5757,2017,0,0,12,25,3,59,75,42,19,11.60895,50797,58160,41.7,0
6145,2020,0,0,5,20,1,67,77,59,21,3.58568,37594,42260,24.9,0
9824,2019,1,6.7,12,16.7,2,64,76,51,43,4.93082,68589,67401,40,0
8285,2018,1,5.6,14,28.6,4,58,70,34,43,4.10505,71814,72356,50.5,0
3628,2019,0,0,7,37.5,3,66,79,52,71,16.69841,1575,1987,34.6,0
6315,2019,0,0,7,28.6,2,63,75,51,21,1.47152,43968,43124,37.4,0
2327,2019,2,13.3,10,20,2,60,65,53,71,12.14671,232779,240448,35.4,0
6366,2020,1,10,10,40,4,62,70,48,21,2.19763,385051,329583,88.9,0
9715,2018,0,0,18,33.3,6,54,81,40,71,4.17922,129067,135268,44.6,0
1882,2019,0,0,7,28.6,2,64,72,59,41,5.42126,89813,84027,48.2,0
6594,2018,1,7.1,9,22.2,2,65,76,50,23,7.83973,1773199,1875068,45.8,0
6249,2017,0,0,6,0,0,59,67,50,21,7.09604,50648,49511,20.2,0
6268,2017,1,6.7,10,30,3,61,66,46,21,13.58392,256973,301557,41.3,0
2445,2019,0,0,8,25,2,56,70,49,71,6.50752,54414,59282,68.8,0
1435,2020,0,0,6,50,3,52,65,40,41,-5.64687,12290,9376,22.8,0
9850,2018,2,16.7,9,22.2,2,55,67,40,71,2.27814,32746,35481,55.8,0
3067,2017,1,11.1,6,50,3,57,69,42,71,6.12431,2188,2531,28.6,0
6639,2017,0,0,8,25,2,60,68,51,23,6.46382,19818,21304,56.6,0
5965,2017,0,0,14,14.3,2,58,64,33,19,8.53105,32622,35739,52.4,0
3765,2018,0,0,9,22.2,2,52,64,45,71,34.14756,78070,96032,18.7,0
7621,2018,0,0,7,28.6,2,65,79,54,71,1.74021,11263,11036,53.6,0
6989,2017,0,0,10,20,2,62,72,57,23,2.61785,35640,40633,68.9,0
7638,2017,1,11.1,5,20,1,58,72,41,45,5.44949,13304,13852,52,0
6652,2018,1,10,10,70,7,72,83,63,23,6.39025,91530,89032,48.8,0
2151,2017,0,0,9,22.2,2,63,70,54,71,3.74216,61248,67388,58.8,0
4777,2018,1,11.1,6,16.7,1,43,53,38,71,-32.34153,773,765,74.4,0
4342,2020,1,8.3,8,37.5,3,57,75,48,71,8.82314,52793,55773,12.8,0
8150,2017,0,0,12,25,3,62,69,57,43,1.89816,94144,93972,34.2,0
3772,2017,0,0,7,28.6,2,59,72,52,71,12.6936,12203,11863,68.5,0
8108,2017,0,0,12,25,3,63,70,52,43,2.86087,124263,180151,71.3,0
3076,2017,0,0,5,40,2,65,71,58,43,16.88444,55027,59696,26.8,0
2769,2018,0,0,6,33.3,2,56,70,47,45,1.6817,26283,25881,66.3,0
3193,2018,0,0,7,28.6,2,57,78,42,71,6.09399,18789,17127,61.9,0
1434,2019,2,20,7,28.6,2,65,77,53,41,2.55442,9004,9972,63.9,0
5985,2019,1,8.3,9,22.2,2,60,69,57,19,2.64654,50481,50921,29.5,0
4351,2017,0,0,6,33.3,2,65,77,45,52,0.79171,10231,4160,29.1,0
6070,2018,0,0,9,33.3,3,60,75,39,71,3.41638,5298,5917,42.5,0
6743,2019,0,0,6,33.3,2,62,67,56,23,5.44002,43566,44251,42.1,0
5702,2018,0,0,10,20,2,63,68,53,19,7.52392,94698,90802,62,0
6032,2019,0,0,6,33.3,2,54,72,47,71,3.74923,3254,2771,9,0
7525,2019,0,0,14,21.4,3,60,78,41,43,8.98105,30286,30326,45.9,0
3444,2017,0,0,8,12.5,1,59,88,43,19,-1.11,10000,9452,25.1,0
6236,2017,0,0,9,11.1,1,58,74,37,21,7.08812,6786,15404,53.5,0
7552,2018,2,18.2,8,25,2,61,68,53,43,5.82219,75281,74923,49.3,0
6915,2017,0,0,10,20,2,59,68,54,23,6.18857,44566,45656,22.8,0
6144,2019,0,0,8,12.5,1,65,72,59,21,5.63776,39129,35319,36.3,0
9740,2018,1,7.1,10,20,2,63,71,59,71,7.30837,50750,51018,52.1,0
3319,2018,1,10,7,28.6,2,52,55,47,45,7.60759,10805,18236,66,0
1407,2018,0,0,6,0,0,60,69,52,41,7.06693,74134,82162,78.6,0
3319,2019,1,10,8,25,2,52,56,48,45,5.32463,18236,19564,67.7,0
7036,2019,0,0,8,50,4,49,64,35,71,15.73987,2122,2512,58.6,0
9853,2017,2,22.2,6,0,0,57,66,43,71,5.38666,6776,6860,16.7,0
2334,2020,0,0,5,20,1,51,57,45,71,-19.18768,1428,766,29.6,0
7860,2018,0,0,6,33.3,2,58,74,46,71,4.9132,132887,125808,58.6,0
1961,2020,0,0,10,30,3,65,73,59,41,4.53306,180805,171313,46.5,0
3816,2017,1,12.5,5,20,1,61,72,56,71,8.55314,3905,4188,18.1,0
3655,2018,0,0,6,16.7,1,49,62,44,71,45.07618,2691,3867,30.5,0
9759,2018,0,0,6,33.3,2,61,73,55,71,16.20101,54046,55878,15.3,0
6580,2018,0,0,6,16.7,1,43,45,40,71,19.64286,1344,1811,18.9,0
6364,2018,0,0,8,12.5,1,62,65,58,21,14.32015,39406,43389,38.4,0
6619,2017,0,0,5,40,2,59,65,54,23,-0.35533,30394,46674,50.8,0
6861,2019,0,0,9,22.2,2,54,74,44,23,16.72241,1675913,1836018,4.2,0
4680,2019,2,14.3,11,18.2,2,52,64,37,71,7.43187,117346,135839,52,0
2752,2017,0,0,9,11.1,1,52,68,37,71,11.83647,21231,21575,57.7,0
8136,2017,2,10.5,15,20,3,63,89,28,43,5.94204,101312,98276,46.3,0
6871,2018,0,0,8,37.5,3,63,73,52,23,4.522,37594,34244,33.3,0
4921,2017,1,5.3,15,13.3,2,60,80,46,7,10.09606,85677,92380,18.2,0
8423,2017,0,0,8,37.5,3,58,67,52,52,6.102,22255,23525,53.3,0
7822,2018,1,8.3,8,25,2,62,79,52,33,-1.88043,74451,68032,34.7,0
6798,2017,0,0,6,0,0,63,71,54,23,0.57447,62318,61807,50.4,0
2762,2019,1,10,7,28.6,2,48,53,42,71,-29.40397,6795,4546,56.1,0
9028,2018,0,0,12,20,2,58,71,41,57,8.60277,38290,39554,41.7,0
8158,2020,0,0,6,50,3,63,69,58,43,1.83351,58467,61436,57.7,0
3834,2017,1,14.3,4,50,2,54,69,46,71,7.8578,10830,10707,9.6,0
6814,2018,0,0,11,18.2,2,62,71,54,23,6.65859,76773,79672,47.9,0
6093,2018,0,0,8,25,2,60,71,41,71,12.72085,3113,3377,15.7,0
6418,2018,0,0,8,25,2,62,72,56,23,5.60963,40377,39668,17.1,0
6989,2018,0,0,10,20,2,63,73,58,23,3.84843,40640,40491,68.8,0
7446,2018,0,0,8,25,2,63,71,39,43,2.1872,15545,14751,63.6,0
4743,2019,0,0,9,22.2,2,59,68,49,71,11.58206,15878,16294,22.9,0
1945,2017,0,0,9,22.2,2,63,67,56,41,5.52329,78866,83446,29.7,0
4120,2020,1,12.5,8,25,2,60,73,44,7,5.42028,9815,11599,48.2,0
6869,2019,1,8.3,12,33.3,4,64,72,58,23,14.25506,346775,389291,28.5,0
1766,2017,1,11.1,5,20,1,59,70,39,41,11.94653,170267,185129,54.6,0
8140,2020,0,0,8,50,4,61,64,53,43,3.71844,137746,148087,39.5,0
2769,2017,0,0,7,28.6,2,53,69,37,45,1.36139,24901,26283,66.9,0
6078,2019,0,0,9,44.4,4,60,72,34,71,7.48514,10768,11829,78.1,0
3994,2018,1,7.1,11,36.4,4,46,66,34,71,-22.25933,8383,16313,50.8,0
6083,2018,0,0,6,33.3,2,57,67,48,71,13.31547,6346,6896,62.8,0
7837,2017,2,28.6,7,42.9,3,56,70,36,33,4.33086,10506,10873,57.6,0
3157,2017,0,0,7,28.6,2,64,69,60,43,2.92914,63022,65425,79.5,0
4921,2019,0,0,9,33.3,3,65,82,52,7,17.82285,80307,94478,28.9,0
4680,2017,2,16.7,9,22.2,2,52,62,43,71,10.09419,101712,106898,46.9,0
6188,2018,0,0,6,33.3,2,61,68,55,71,14.78488,4207,4595,50.5,0
2926,2017,0,0,4,25,1,54,55,53,1,-4.25414,1810,1542,29.2,0
4099,2018,0,0,10,20,2,65,78,59,7,9.32457,90417,92191,23.7,0
7613,2017,0,0,5,40,2,69,89,62,43,9.58385,109695,130526,55.9,0
4430,2019,0,0,10,30,3,60,72,47,71,10.33977,4768,5487,36.8,0
2152,2017,1,11.1,6,16.7,1,60,71,50,71,12.67813,8842,9710,31.5,0
9818,2017,1,10,10,20,2,60,65,46,43,6.16853,14039,14523,25.9,0
9090,2017,0,0,11,18.2,2,62,74,47,57,12.94929,36697,39593,47.9,0
4295,2017,1,11.1,7,28.6,2,53,59,49,71,3.81691,26959,25765,27.5,0
5982,2018,0,0,10,20,2,59,68,35,19,9.65493,51207,54025,36.1,0
8798,2019,1,10,6,50,3,55,61,47,71,18.36435,8168,10312,45.6,0
7636,2017,0,0,6,16.7,1,54,71,47,45,13.20551,17629,17886,34.3,0
9757,2018,0,0,7,42.9,3,53,61,47,71,19.52437,25650,26821,16.6,0
6745,2018,0,0,14,14.3,2,62,76,53,23,8.08133,59953,62457,48.5,0
3784,2019,0,0,6,33.3,2,61,73,53,71,10.25577,16108,16913,52,0
4318,2018,1,8.3,9,22.2,2,61,75,55,71,26.96393,10451,12592,33.6,0
3750,2019,0,0,6,50,3,53,70,43,71,-2.47161,7485,15482,75.2,0
8275,2020,0,0,8,25,2,62,66,55,43,8.53177,29103,31410,58.5,0
7730,2018,1,8.3,7,57.1,4,62,73,37,31,15.11292,37683,39813,11.3,0
3939,2018,1,7.7,10,30,3,59,87,37,71,29.58978,1487,1842,19.1,0
4777,2019,1,11.1,6,16.7,1,44,54,39,71,-37.51634,765,719,84.1,0
8226,2017,1,9.1,8,25,2,60,81,42,43,-2.83607,6100,6944,41.4,0
3671,2019,2,15.4,10,20,2,59,72,44,71,9.13933,4694,5642,64.6,0
4393,2017,1,12.5,5,20,1,36,39,33,71,15.34114,2477,2811,60.4,0
