SCODE,Year,FEM_NUM,FEM_RTO,BOARDSIZE,IDOUT_RTO,IDOUT_NUM,AGE_AVERAGE,BRD_AGEMAX_B,BRD_AGEMIN_B,NKILM,ROA,ASS_ROA,ASS,DASS,FRAUD
7949,2018,0,0,9,33.3,3,60,73,35,19,8.35442,36747,39300,17.9,1
6988,2019,0,0,8,37.5,3,65,77,54,7,7.55547,913418,921900,25.1,1
5310,2017,0,0,7,42.9,3,55,68,46,15,5.32831,69797,74223,17.8,1
3036,2019,0,0,7,33.3,2,69,83,56,43,3.76501,143851,134463,69.3,1
1798,2017,0,0,9,11.1,1,65,70,55,41,5.87358,25487,26487,67.2,1
3167,2017,0,0,10,20,2,64,77,55,43,6.9461,161112,166391,63.1,1
7927,2019,0,0,5,20,1,61,71,54,33,5.09102,22962,21290,44.4,1
8803,2017,1,8.3,8,37.5,3,64,75,55,53,2.86494,293025,302795,65.4,1
6753,2020,0,0,7,28.6,2,63,74,55,23,3.48666,1811907,1927226,81.1,1
1798,2019,0,0,8,12.5,1,67,72,57,41,5.00019,26999,29820,66.2,1
6676,2019,0,0,9,33.3,3,63,71,38,23,5.54158,88675,78870,38.8,1
5781,2017,0,0,8,0,0,59,70,41,19,1.33809,4484,4809,52.1,1
3036,2018,0,0,6,33.3,2,72,82,60,43,4.80349,130197,143851,72.4,1
1762,2019,1,6.3,12,25,3,63,82,42,41,7.53187,190590,211431,47.9,1
6676,2020,0,0,7,42.9,3,62,72,39,23,11.5012,78870,85802,39.2,1
6205,2018,0,0,11,27.3,3,59,75,38,21,1.42006,49505,49314,56.4,1
7729,2018,0,0,10,20,2,61,71,53,31,15.65545,132893,157573,31.8,1
8803,2019,1,7.7,9,44.4,4,67,77,57,53,2.98177,335572,339545,68.4,1
1960,2019,0,0,7,28.6,2,65,80,44,41,2.87274,46541,45913,34.3,1
3277,2019,0,0,9,22.2,2,51,70,37,53,10.47863,16777,19293,48.7,1
1716,2018,1,12.5,5,40,2,50,57,45,41,14.50382,12707,13304,17.6,1
7932,2019,0,0,7,14.3,1,68,77,57,33,2.55191,67910,67652,57.8,1
1762,2018,0,0,16,12.5,2,63,81,41,41,6.72003,184895,190590,38,1
3054,2018,2,22.2,6,0,0,48,54,42,43,5.35962,6493,6280,57.6,1
3167,2018,0,0,10,20,2,64,78,56,43,7.98769,165993,167606,61.9,1
1827,2018,0,0,9,22.2,2,66,78,57,41,7.04165,84554,84450,59.3,1
2427,2020,2,20,10,60,6,62,76,44,71,3.81106,239907,302873,77.5,1
5922,2018,0,0,11,9.1,1,62,70,46,19,2.13848,35586,35111,58.8,1
6615,2017,0,0,8,25,2,65,81,51,23,3.42257,60627,65923,72.4,1
3023,2018,0,0,9,22.2,2,66,73,57,43,7.67796,29487,31854,50.2,1
3088,2017,1,7.7,10,30,3,62,74,42,45,12.64222,285733,315161,35,1
6588,2017,0,0,10,20,2,61,68,55,23,8.45159,269393,282630,67,1
5940,2017,0,0,5,40,2,65,73,58,19,2.17862,85467,90952,78.8,1
1798,2018,0,0,9,11.1,1,66,71,56,41,5.35735,26487,26999,65.3,1
4634,2018,1,5.3,14,21.4,3,64,79,57,7,4.08447,379682,374536,40.2,1
6676,2017,0,0,6,33.3,2,62,73,36,23,9.46547,67181,65822,31.3,1
3054,2019,2,20,7,28.6,2,52,69,43,43,8.6465,6280,6644,55.7,1
7806,2018,0,0,11,27.3,3,53,70,43,33,-10.52296,72223,40955,22.5,1
9621,2020,1,6.3,12,16.7,2,64,77,58,71,8.83873,59013,63980,46.8,1
3054,2020,2,20,7,28.6,2,53,70,44,43,4.98194,6644,6875,53.6,1
8203,2020,1,8.3,9,22.2,2,59,65,45,45,6.87527,83604,82306,66.1,1
8061,2018,1,9.1,7,28.6,2,61,69,57,43,2.45994,98295,85742,66.1,1
4923,2019,0,0,7,14.3,1,54,59,43,7,15.86001,9401,10356,25.2,1
4634,2019,2,10.5,14,21.4,3,64,80,58,7,3.72622,371610,376130,39.7,1
3167,2019,0,0,10,20,2,64,79,49,43,8.63871,167606,169972,61.2,1
2220,2017,1,8.3,8,62.5,5,67,76,47,1,8.89183,72606,77282,37.9,1
9729,2017,0,0,10,20,2,63,68,53,71,9.29313,84514,92576,32.4,1
1770,2017,0,0,6,16.7,1,58,66,52,41,10.38429,21234,22515,50.6,1
3054,2017,2,20,7,0,0,48,54,41,43,5.88032,5799,6493,60.9,1
6457,2019,0,0,8,25,2,63,71,51,21,4.92006,318228,308763,39.4,1
7949,2017,0,0,9,22.2,2,59,72,34,19,6.69367,35302,36747,16,1
8132,2018,1,16.7,6,50,3,63,69,58,43,2.31575,93188,91112,48,1
8182,2018,0,0,8,25,2,63,75,53,45,2.56448,100722,95415,45.5,1
1716,2019,1,12.5,5,40,2,51,58,46,41,18.65604,13304,15533,19.2,1
3167,2020,0,0,10,20,2,65,80,50,43,9.00854,169972,178974,57.5,1
5922,2019,0,0,11,9.1,1,63,71,47,19,5.7304,35111,38267,48.9,1
8886,2019,0,0,8,37.5,3,60,73,39,53,1.12452,27923,27434,76.7,1
6541,2017,1,11.1,6,16.7,1,49,62,42,71,32.44305,1273,1586,29.1,1
9639,2020,0,0,7,0,0,54,61,40,71,12.53372,63397,64329,38.5,1
1827,2019,0,0,8,25,2,68,79,58,41,5.20426,84450,81349,56.3,1
8182,2017,0,0,9,22.2,2,63,74,53,45,3.94176,97520,100734,46.3,1
3782,2017,0,0,6,16.7,1,57,81,45,71,-10.46392,1940,1898,17.1,1
6988,2017,0,0,9,33.3,3,62,75,52,7,14.33892,879899,937796,26,1
2427,2018,0,0,9,44.4,4,59,74,39,71,10.4593,124645,181577,67.9,1
7955,2017,1,7.7,9,22.2,2,61,68,52,33,0.49544,84369,83898,37.6,1
5935,2019,0,0,5,20,1,62,77,49,19,5.35322,8649,9943,59,1
3023,2017,0,0,11,18.2,2,64,72,56,43,7.41235,27751,29633,47,1
4427,2018,2,12.5,12,16.7,2,51,60,39,71,16.53422,7802,12853,47.2,1
3782,2020,0,0,5,20,1,63,84,53,71,-8.45846,1998,3592,18.2,1
7597,2018,1,12.5,5,0,0,55,74,34,43,1.1836,6928,6967,53.7,1
2127,2019,0,0,9,33.3,3,62,76,41,71,40.59431,35638,44296,18.9,1
2427,2017,0,0,9,33.3,3,57,73,38,71,11.50462,90355,124645,78.5,1
5915,2017,0,0,7,14.3,1,62,75,57,19,2.91075,56068,58496,50.3,1
6408,2020,0,0,8,12.5,1,66,74,56,21,-0.59935,42546,42020,63.6,1
9964,2019,1,7.7,10,20,2,62,89,37,43,5.89901,72758,67784,49.5,1
9964,2018,1,8.3,9,11.1,1,60,88,36,43,7.04622,65042,72758,56,1
3782,2019,0,0,5,20,1,62,83,52,71,-14.65565,1815,1998,20.8,1
6408,2019,0,0,8,12.5,1,65,73,55,21,1.56362,43297,43360,60,1
2427,2019,0,0,9,44.4,4,60,75,40,71,7.24075,186141,239179,72.8,1
6457,2020,0,0,11,36.4,4,62,72,44,21,4.57147,308763,331214,40.5,1
9787,2018,0,0,11,27.3,3,61,74,44,71,9.23568,144678,134614,43.9,1
1982,2019,1,7.7,9,33.3,3,64,71,59,41,5.14467,82396,83632,30.3,1
6753,2018,0,0,9,22.2,2,57,67,42,23,3.61606,1908461,1866349,80,1
6205,2017,0,0,10,20,2,60,73,51,21,0.96908,50873,49742,57.1,1
6457,2017,0,0,8,25,2,62,75,49,21,5.6112,312821,302953,36.6,1
9621,2019,1,6.3,12,16.7,2,64,76,59,71,8.64632,50854,59013,47.6,1
1734,2020,0,0,6,16.7,1,60,64,53,41,1.79892,10006,9334,54.4,1
2127,2018,0,0,10,30,3,60,75,40,71,39.52381,31710,35638,23.5,1
6192,2017,0,0,10,20,2,47,55,37,71,18.63517,1905,2542,59.1,1
6901,2017,0,0,14,14.3,2,61,73,54,23,2.81295,19588,21396,58.9,1
5922,2017,0,0,11,9.1,1,61,69,45,19,2.19654,32096,35589,60.9,1
9729,2018,0,0,9,22.2,2,63,69,54,71,8.56272,92237,95631,30.9,1
6570,2018,1,11.1,9,33.3,3,62,76,53,71,4.72341,10268,10990,69.1,1
6675,2017,0,0,10,20,2,59,65,55,23,1.56862,41629,40802,42.7,1
9829,2017,0,0,11,18.2,2,61,70,52,45,1.81672,13706,13796,77.8,1
6676,2018,0,0,7,28.6,2,62,74,37,23,9.87609,66018,88675,38.2,1
4708,2017,1,8.3,8,25,2,59,63,44,71,8.087,66069,67123,28.1,1
6573,2018,0,0,5,20,1,42,46,36,71,18.99038,416,768,8.6,1
2127,2020,2,15.4,13,38.5,5,57,77,37,71,37.33971,44296,55558,18.2,1
8132,2017,1,16.7,6,50,3,62,68,57,43,3.76588,104836,93614,49.9,1
2402,2017,1,8.3,9,0,0,52,66,40,71,4.84168,11938,11907,85,1
8089,2017,0,0,11,27.3,3,63,71,57,43,0.19978,181200,179491,74.2,1
